Age,Attrition,DailyRate,DistanceFromHome,HourlyRate,MonthlyIncome,MonthlyRate,OverTime,StockOptionLevel,TotalWorkingYears,YearsAtCompany
41,Yes,1102,1,94,5993,19479,Yes,0,8,6
49,No,279,8,61,5130,24907,No,1,10,10
37,Yes,1373,2,92,2090,2396,Yes,0,7,0
33,No,1392,3,56,2909,23159,Yes,0,8,8
27,No,591,2,40,3468,16632,No,1,6,2
32,No,1005,2,79,3068,11864,No,0,8,7
59,No,1324,3,81,2670,9964,Yes,3,12,1
30,No,1358,24,67,2693,13335,No,1,1,1
38,No,216,23,44,9526,8787,No,0,10,9
36,No,1299,27,94,5237,16577,No,2,17,7
35,No,809,16,84,2426,16479,No,1,6,5
29,No,153,15,49,4193,12682,Yes,0,10,9
31,No,670,26,31,2911,15170,No,1,5,5
34,No,1346,19,93,2661,8758,No,1,3,2
28,Yes,103,24,50,2028,12947,Yes,0,6,4
29,No,1389,21,51,9980,10195,No,1,10,10
32,No,334,5,80,3298,15053,Yes,2,7,6
22,No,1123,16,96,2935,7324,Yes,2,1,1
53,No,1219,2,78,15427,22021,No,0,31,25
38,No,371,2,45,3944,4306,Yes,0,6,3
24,No,673,11,96,4011,8232,No,1,5,4
36,Yes,1218,9,82,3407,6986,No,0,10,5
34,No,419,7,53,11994,21293,No,0,13,12
21,No,391,15,96,1232,19281,No,0,0,0
34,Yes,699,6,83,2960,17102,No,0,8,4
53,No,1282,5,58,19094,10735,No,1,26,14
32,Yes,1125,16,72,3919,4681,Yes,0,10,10
42,No,691,8,48,6825,21173,No,1,10,9
44,No,477,7,42,10248,2094,No,1,24,22
46,No,705,2,83,18947,22822,No,0,22,2
33,No,924,2,78,2496,6670,No,0,7,1
44,No,1459,10,41,6465,19121,Yes,0,9,4
30,No,125,9,83,2206,16117,No,0,10,10
39,Yes,895,5,56,2086,3335,No,1,19,1
24,Yes,813,1,61,2293,3020,Yes,1,6,2
43,No,1273,2,72,2645,21923,No,2,6,5
50,Yes,869,3,86,2683,3810,Yes,0,3,3
35,No,890,2,97,2014,9687,No,0,2,2
36,No,852,5,82,3419,13072,Yes,1,6,1
33,No,1141,1,42,5376,3193,No,2,10,5
35,No,464,4,75,1951,10910,No,1,1,1
27,No,1240,2,33,2341,19715,No,1,1,1
26,Yes,1357,25,48,2293,10558,No,0,1,1
27,No,994,8,37,8726,2975,No,0,9,9
30,No,721,1,58,4011,10781,No,0,12,12
41,Yes,1360,12,49,19545,16280,No,0,23,22
34,No,1065,23,72,4568,10034,No,0,10,9
37,No,408,19,73,3022,10227,No,0,8,1
46,No,1211,5,98,5772,20445,Yes,0,14,9
35,No,1229,8,36,2269,4892,No,0,1,1
48,Yes,626,1,98,5381,19294,Yes,0,23,1
28,Yes,1434,5,50,3441,11179,Yes,0,2,2
44,No,1488,1,75,5454,4009,Yes,1,9,4
35,No,1097,11,79,9884,8302,Yes,1,10,4
26,No,1443,23,47,4157,21436,Yes,1,5,2
33,No,515,1,98,13458,15146,Yes,0,15,15
35,No,853,18,71,9069,11031,No,1,9,9
35,No,1142,23,30,4014,16002,Yes,1,4,2
31,No,655,7,48,5915,9528,No,1,10,7
37,No,1115,1,51,5993,2689,No,1,7,7
32,No,427,1,33,6162,10877,Yes,1,9,9
38,No,653,29,50,2406,5456,No,0,10,10
50,No,989,7,43,18740,16701,Yes,1,29,27
59,No,1435,25,99,7637,2354,No,0,28,21
36,No,1223,8,59,10096,8202,No,3,17,17
55,No,836,8,33,14756,19730,Yes,3,21,5
36,No,1195,11,95,6499,22656,No,0,6,6
45,No,1339,7,59,9724,18787,No,1,25,1
35,No,664,1,79,2194,5868,No,1,5,3
36,Yes,318,9,79,3388,21777,Yes,1,2,1
59,No,1225,1,57,5473,24668,No,0,20,4
29,No,1328,2,76,2703,4956,No,1,6,5
31,No,1082,1,87,2501,18775,No,0,1,1
32,No,548,1,66,6220,7346,No,2,10,10
36,No,132,6,55,3038,22002,No,0,5,1
31,No,746,8,61,4424,20682,No,0,11,11
35,No,776,1,32,4312,23016,No,0,16,15
45,No,193,6,52,13245,15067,Yes,0,17,0
37,No,397,7,30,13664,25258,No,0,16,5
46,No,945,5,80,5021,10425,Yes,1,16,4
30,No,852,1,55,5126,15998,Yes,2,10,10
35,No,1214,1,30,2859,26278,No,0,6,6
55,No,111,1,70,10239,18092,No,1,24,1
38,No,573,6,79,5329,15717,Yes,3,17,13
34,No,1153,1,94,4325,17736,No,0,5,5
56,No,1400,7,49,7260,21698,No,0,37,6
23,No,541,2,62,2322,9518,No,1,3,0
51,No,432,9,96,2075,18725,No,2,10,4
30,No,288,2,99,4152,15830,No,3,11,11
46,Yes,669,9,64,9619,13596,No,0,9,9
40,No,530,1,78,13503,14115,No,1,22,22
51,No,632,21,71,5441,8423,Yes,0,11,10
30,No,1334,4,63,5209,19760,Yes,3,11,11
46,No,638,1,40,10673,3142,Yes,1,21,10
32,No,1093,6,87,5010,24301,No,0,12,11
54,No,1217,2,60,13549,24001,No,1,16,4
24,No,1353,3,33,4999,17519,No,1,4,3
28,No,120,4,43,4221,8863,No,0,5,5
58,No,682,10,37,13872,24409,No,0,38,37
44,No,489,23,67,2042,25043,No,1,17,3
37,Yes,807,6,63,2073,23648,Yes,0,7,3
32,No,827,1,71,2956,15178,No,0,1,1
20,Yes,871,6,66,2926,19783,Yes,0,1,1
34,No,665,6,41,4809,12482,No,0,16,16
37,No,1040,2,100,5163,15850,No,1,17,1
59,No,1420,2,32,18844,21922,No,1,30,3
50,No,1115,1,73,18172,9755,Yes,0,28,8
25,Yes,240,5,46,5744,26959,Yes,0,6,6
25,No,1280,7,64,2889,26897,No,2,2,2
22,No,534,15,59,2871,23785,No,0,1,0
51,No,1456,1,30,7484,25796,No,0,23,13
34,Yes,658,7,66,6074,22887,Yes,0,9,9
54,No,142,26,30,17328,13871,Yes,0,23,5
24,No,1127,18,52,2774,13257,No,1,6,5
34,No,1031,6,45,4505,15000,No,1,12,1
37,No,1189,3,87,7428,14506,No,0,12,5
34,No,1354,5,45,11631,5615,No,0,14,11
36,No,1467,11,92,9738,22952,No,1,10,9
36,No,922,3,39,2835,2561,No,1,7,1
43,No,394,26,92,16959,19494,Yes,2,25,25
30,No,1312,23,96,2613,22310,No,3,10,10
33,No,750,22,95,6146,15480,No,1,8,7
56,Yes,441,14,72,4963,4510,Yes,3,7,5
51,No,684,6,51,19537,6462,No,0,23,20
31,Yes,249,6,76,6172,20739,Yes,0,12,7
26,No,841,6,46,2368,23300,No,0,5,5
58,Yes,147,23,94,10312,3465,No,1,40,40
19,Yes,528,22,50,1675,26820,Yes,0,0,0
22,No,594,2,100,2523,19299,No,1,3,2
49,No,470,20,96,6567,5549,No,0,16,15
43,No,957,28,72,4739,16090,No,0,18,3
50,No,809,12,77,9208,6645,No,0,16,2
31,Yes,542,20,71,4559,24788,Yes,1,4,2
41,No,802,9,96,8189,21196,Yes,1,12,9
26,No,1355,25,61,2942,8916,No,1,8,8
36,No,216,6,84,4941,2819,No,2,7,3
51,Yes,1150,8,53,10650,25150,No,0,18,4
39,No,1329,4,47,5902,14590,No,1,17,15
25,No,959,28,41,8639,24835,No,0,6,2
30,No,1240,9,48,6347,13982,Yes,0,12,11
32,Yes,1033,9,41,4200,10224,No,0,10,5
45,No,1316,29,83,3452,9752,No,0,9,6
38,No,364,3,32,4317,2302,Yes,0,19,3
30,No,438,18,75,2632,23910,No,0,5,5
32,No,689,9,35,4668,22812,No,3,9,8
